p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CHGB 1.88970086656304e-103 0.444861199814529 1 1 5.0061955356988e-99 0 CHGB
TMSB4X 2.73985370123448e-100 0.499597681428574 1 1 7.25842042531038e-96 0 TMSB4X
PLD3 1.35923595487308e-94 0.475304037735738 1 1 3.60088789164976e-90 0 PLD3
DBI 7.509054691529e-94 -0.922815234013972 0.994 0.996 1.98929876887986e-89 0 DBI
RBP1 2.29583825492951e-92 0.450430458859479 1 0.999 6.08213470495926e-88 0 RBP1
TMSB4XP4 4.38957518548515e-88 0.488457808958524 1 0.998 1.16288625813873e-83 0 TMSB4XP4
RAMP1 1.96936212249969e-84 0.591178403766912 0.998 0.889 5.21723413492618e-80 0 RAMP1
TMEM130 3.49481225349664e-84 0.413708100821466 1 1 9.25845662196331e-80 0 TMEM130
SCG5 3.53377536903954e-81 0.324688028076663 1 1 9.36167770765955e-77 0 SCG5
CGA 6.53686899463176e-79 0.630132204309468 1 0.977 1.73174733405784e-74 0 CGA
MT-ND2 8.29499781402019e-77 -0.406960946969114 1 1 2.19751082089023e-72 0 MT-ND2
GPX3 3.2288937459064e-76 0.495099846299901 1 0.972 8.55398531165523e-72 0 GPX3
MT-ND5 8.38167981967574e-74 0.370983234831283 1 1 2.2204746178285e-69 0 MT-ND5
AMIGO2 1.58541576058512e-71 0.49820962479189 0.992 0.849 4.20008343294209e-67 0 AMIGO2
FKBP2 1.31304798064307e-66 0.354847896609195 1 1 3.47852671031962e-62 0 FKBP2
LY6H 8.71985891716358e-66 0.416322878271701 1 0.977 2.31006502433498e-61 0 LY6H
SPARCL1 1.54801835091135e-65 0.490373617889473 1 0.984 4.10101021523435e-61 0 SPARCL1
SERPINF1 2.21480483034259e-64 0.416332836158182 0.992 0.949 5.8674609565436e-60 0 SERPINF1
MT-ND1 6.49015544247299e-61 -0.381279025571686 1 1 1.71937197981994e-56 0 MT-ND1
PCOLCE2 8.68181447945609e-61 0.442906753010915 0.992 0.924 2.29998629189751e-56 0 PCOLCE2
TMEM190 6.15385619078842e-60 0.446154811749913 0.987 0.718 1.63027958206367e-55 0 TMEM190
LAMP5 1.294502676596e-58 0.467201295767175 0.983 0.815 3.42939649083812e-54 0 LAMP5
UBC 3.79508586514562e-58 0.281819834248493 1 1 1.00539414739438e-53 0 UBC
GRP 9.93934943195731e-58 0.405745635909119 0.845 0.535 2.63313245151413e-53 0 GRP
FOLR1 1.35539288920331e-57 0.420572288698646 0.918 0.662 3.59070684207741e-53 0 FOLR1
SCG2 2.26979356867344e-54 0.331875345396035 1 0.999 6.01313712212967e-50 0 SCG2
PART1 4.51979489795626e-54 0.415058213999847 0.97 0.725 1.19738406436657e-49 0 PART1
DIO2 5.17037308177074e-54 -0.733591262468773 0.525 0.727 1.3697352368227e-49 0 DIO2
TUSC3 6.33658852326501e-54 0.368455265804031 0.997 0.977 1.67868903158337e-49 0 TUSC3
VGF 2.78829490021705e-52 0.456167710741261 0.933 0.69 7.386750849655e-48 0 VGF
GLUL 3.83143161316845e-52 -0.704079877147969 0.976 0.98 1.01502286296059e-47 0 GLUL
MDK 1.88445284640894e-51 0.408929976474667 1 0.987 4.99229248070657e-47 0 MDK
SPINT2 4.98313968786093e-51 0.254465342687213 1 1 1.32013336610812e-46 0 SPINT2
ELAPOR1 5.83757374943874e-51 0.322147391833831 1 0.998 1.54649003770131e-46 0 ELAPOR1
CHGA 1.34870221648416e-49 0.280852133307588 1 1 3.57298191190984e-45 0 CHGA
TUBA1A 2.0313266717067e-49 0.305506951825754 1 0.997 5.3813906186854e-45 0 TUBA1A
COX7A1 2.27772397945175e-48 0.327405616223014 1 1 6.03414636636358e-44 0 COX7A1
ABHD14A 4.25116933124627e-47 0.369632974766234 0.986 0.938 1.12621977923376e-42 0 ABHD14A
CTXN1 1.70114298525001e-46 0.373133145995121 0.932 0.774 4.50666799652433e-42 0 CTXN1
MKX 3.1554246024446e-45 -0.704653925391654 0.173 0.44 8.35935085679624e-41 0 MKX
IDH1 1.1414523033593e-44 0.279445543376199 1 1 3.02393544205945e-40 0 IDH1
