p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CHGB 4.50455003373054e-102 0.444154386938584 1 1 1.19334539493589e-97 0 CHGB
TMSB4X 4.61869124353282e-99 0.501014873190585 1 1 1.22358368423671e-94 0 TMSB4X
PLD3 1.28594999454785e-92 0.473994929272576 1 1 3.40673872555617e-88 0 PLD3
DBI 6.32761868861648e-92 -0.919151176364938 0.995 0.996 1.67631274298828e-87 0 DBI
RBP1 1.0495194858899e-90 0.450009189426367 1 0.999 2.78038702201952e-86 0 RBP1
TMSB4XP4 8.18456520914416e-87 0.489804210687832 1 0.998 2.16825501520647e-82 0 TMSB4XP4
RAMP1 3.71815034279022e-83 0.59059980290237 0.998 0.89 9.85012388811986e-79 0 RAMP1
TMEM130 4.78767555494395e-83 0.414252568904309 1 1 1.26835100801575e-78 0 TMEM130
SCG5 7.9106574647388e-79 0.322896787331755 1 1 2.0956913755586e-74 0 SCG5
CGA 5.97193077899549e-78 0.628133599750856 1 0.977 1.58208390197149e-73 0 CGA
MT-ND2 1.99071695500014e-75 -0.406477479816869 1 1 5.27380735718637e-71 0 MT-ND2
GPX3 3.18683421675815e-74 0.493316801639695 1 0.972 8.44256120703568e-70 0 GPX3
MT-ND5 3.95608907211205e-72 0.369507471368678 1 1 1.04804711698392e-67 0 MT-ND5
AMIGO2 1.0036270550505e-70 0.501518920878327 0.994 0.85 2.65880879423977e-66 0 AMIGO2
FKBP2 1.09386625924641e-66 0.356305678058134 1 1 2.89787049399559e-62 0 FKBP2
LY6H 7.73355794893718e-66 0.418530486968665 1 0.977 2.04877417183244e-61 0 LY6H
SPARCL1 5.05471281911144e-65 0.4906482461302 1 0.984 1.339094520039e-60 0 SPARCL1
SERPINF1 1.645643944167e-62 0.414011122373337 0.992 0.949 4.35963993688721e-58 0 SERPINF1
PCOLCE2 2.36716874701273e-61 0.44763555757146 0.992 0.925 6.27110344458613e-57 0 PCOLCE2
MT-ND1 6.35435132089256e-60 -0.381845532341084 1 1 1.68339475193086e-55 0 MT-ND1
UBC 1.64009125790441e-58 0.284837560983336 1 1 4.34492976044036e-54 0 UBC
TMEM190 2.69489533029849e-58 0.443552874138883 0.987 0.72 7.13931670902676e-54 0 TMEM190
LAMP5 9.40154500675014e-57 0.459881088280283 0.982 0.816 2.49065730318825e-52 0 LAMP5
FOLR1 8.01015810718857e-56 0.416001200694362 0.918 0.663 2.12205108575639e-51 0 FOLR1
GRP 6.14575215189551e-55 0.395792308571896 0.843 0.537 1.62813266008016e-50 0 GRP
TUSC3 7.52570357098058e-55 0.376330552072323 0.997 0.977 1.99370939002417e-50 0 TUSC3
SCG2 2.92743268013478e-54 0.334232887525563 1 0.999 7.75535465621306e-50 0 SCG2
DIO2 4.69227671244673e-53 -0.731613023784476 0.522 0.726 1.24307794666139e-48 0 DIO2
PART1 2.11592605426832e-52 0.411912042346591 0.971 0.726 5.60551130296763e-48 0 PART1
SPINT2 3.07686796274698e-52 0.25834478364364 1 1 8.15123860690929e-48 0 SPINT2
MDK 3.3038811636717e-51 0.41030506363514 1 0.987 8.75264197879908e-47 0 MDK
GLUL 3.51712171081155e-51 -0.701106407210494 0.977 0.979 9.31755883628196e-47 0 GLUL
CHGA 5.04182709007941e-50 0.284235358617426 1 1 1.33568083270384e-45 0 CHGA
VGF 9.44342030090002e-50 0.451708906848957 0.931 0.691 2.50175090611443e-45 0 VGF
ELAPOR1 2.01624482350331e-49 0.319595716105336 1 0.998 5.34143578642497e-45 0 ELAPOR1
TUBA1A 1.62313986373268e-48 0.303231671854729 1 0.997 4.30002212700062e-44 0 TUBA1A
COX7A1 8.50690610590584e-47 0.322766048939267 1 1 2.25364956557657e-42 0 COX7A1
ABHD14A 1.11037554134651e-45 0.365215183852146 0.985 0.938 2.94160688413518e-41 0 ABHD14A
MKX 1.29596684418955e-45 -0.707524079506655 0.168 0.44 3.43327536362696e-41 0 MKX
CTXN1 2.35911968102041e-44 0.367183074435905 0.931 0.775 6.24977985895927e-40 0 CTXN1
IDH1 3.08118276938294e-44 0.280176798654446 1 1 8.16266939264929e-40 0 IDH1
EPCAM 1.68293214973229e-43 0.295486631234066 1 0.997 4.45842385107077e-39 0 EPCAM
LGALS3BP 5.39300988172648e-43 0.322228515664075 0.997 0.987 1.42871617786698e-38 0 LGALS3BP
PNMT 7.83242940661645e-43 0.358839254607666 0.964 0.756 2.07496719840083e-38 0 PNMT
TSPAN1 9.4482050611839e-43 0.372550583088708 0.964 0.89 2.50301848480884e-38 0 TSPAN1
CTSB 3.55533601121776e-42 0.298060403870489 0.998 0.994 9.4187961609181e-38 0 CTSB
CDHR1 2.47017533034277e-41 0.347262013514367 0.816 0.555 6.54398848514406e-37 0 CDHR1
PITX2 5.08471002247161e-41 0.359157780014278 0.952 0.724 1.34704137915318e-36 0 PITX2
CPLX2 1.76399281831188e-40 0.332810796757293 0.985 0.928 4.67316977427184e-36 0 CPLX2
CALY 5.21701148182917e-40 0.311563753954004 0.994 0.968 1.38209068176618e-35 0 CALY
CD164 4.70429087035166e-39 0.314615766288934 1 0.975 1.24626073737356e-34 0 CD164
SERPINI1 5.28267963380273e-39 0.369373890917316 0.976 0.834 1.39948748858702e-34 0 SERPINI1
ADRA2A 1.69273066510779e-38 -0.577028174409073 0.674 0.813 4.48438207800355e-34 0 ADRA2A
PTPRN 2.9871178886303e-38 0.27972207740698 0.998 0.994 7.91347271055939e-34 0 PTPRN
MUC5B 5.41036221697307e-38 0.348234733842459 0.851 0.623 1.43331315852051e-33 0 MUC5B
PRLHR 8.9636513280865e-38 0.319492173529191 0.88 0.667 2.37465050983668e-33 0 PRLHR
EDIL3 2.20435379703315e-37 0.346395278550674 0.979 0.768 5.83977407910022e-33 0 EDIL3
ERICH3 4.27136738405266e-37 0.279195050802274 0.69 0.402 1.13157064738323e-32 0 ERICH3
KCNA5 1.71302278723294e-36 0.319842501764991 0.989 0.937 4.53813996793752e-32 0 KCNA5
SDC4 9.25835889405156e-36 0.342913337084589 0.969 0.884 2.45272443821214e-31 0 SDC4
RPL36A 1.19120684134658e-35 -0.347578158937545 0.998 1 3.15574516409535e-31 0 RPL36A
SEMA3E 1.3313915550714e-35 0.364590742132143 1 0.901 3.52712250769516e-31 0 SEMA3E
SEZ6L 1.98743741724279e-35 0.306667395885333 1 0.979 5.26511920575961e-31 0 SEZ6L
BRINP3 8.58992977545164e-35 -0.541084105708594 0.099 0.329 2.27564419611265e-30 0 BRINP3
CTSV 7.54295459887563e-34 0.294468743681968 0.83 0.563 1.99827953233413e-29 0 CTSV
EMC10 4.2739148425286e-33 0.279146894904312 0.995 0.985 1.13224552008268e-28 0 EMC10
UNC13D 4.51090394479482e-33 0.276672509189595 0.772 0.526 1.19502867305504e-28 0 UNC13D
GRIA2 4.54312254197657e-33 0.313907957899904 0.943 0.764 1.20356402382043e-28 0 GRIA2
XIST 1.88087530582954e-32 -0.497319073893107 0.111 0.331 4.98281486020361e-28 0 XIST
SFRP1 2.85200803520406e-32 -0.385001177675266 0.097 0.317 7.5555396868626e-28 0 SFRP1
CHID1 4.45298377100279e-32 0.29596045512464 0.995 0.947 1.17968446061406e-27 0 CHID1
STMN1 1.82578132656781e-31 0.27908489447593 0.998 0.973 4.83685989034345e-27 0 STMN1
PITX1 6.57586576784191e-31 -0.335699474931753 1 1 1.74207835921668e-26 0 PITX1
CBX5 7.41983260873781e-31 0.281906538579762 0.99 0.924 1.96566205470682e-26 0 CBX5
