p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CHGB 2.23739155997186e-121 0.469417740662467 1 1 5.92729772067746e-117 0 CHGB
PLD3 1.16726696743904e-114 0.526751752844742 1 1 3.09232365013951e-110 0 PLD3
DBI 8.68256231236497e-105 -0.944107945428074 0.994 0.996 2.30018440779173e-100 0 DBI
TMSB4X 2.98977637955697e-101 0.492904513728558 1 1 7.92051558472232e-97 0 TMSB4X
RAMP1 2.7131299562386e-99 0.632452552614956 0.999 0.887 7.1876238800673e-95 0 RAMP1
TMEM130 8.58118841193819e-98 0.436947651718304 1 1 2.27332843409066e-93 0 TMEM130
SCG5 1.05147996364953e-92 0.342997886778192 1 1 2.78558071970033e-88 0 SCG5
RBP1 2.44285737599324e-92 0.43946643571752 1 0.999 6.47161776048128e-88 0 RBP1
CGA 1.82681225965742e-89 0.652215609418413 1 0.977 4.83959103828442e-85 0 CGA
TMSB4XP4 2.59716584469274e-89 0.480768773220828 1 0.998 6.88041175576e-85 0 TMSB4XP4
GPX3 3.10748010053448e-86 0.516146511916462 1 0.971 8.23233628233595e-82 0 GPX3
MT-ND5 1.34767665205208e-83 0.386084270897303 1 1 3.57026498661637e-79 0 MT-ND5
AMIGO2 1.06352004269159e-80 0.521058421238792 0.991 0.847 2.81747729709856e-76 0 AMIGO2
MT-ND2 1.09604974329896e-78 -0.397274494125729 1 1 2.90365497994762e-74 0 MT-ND2
LY6H 1.71018591739916e-77 0.441738645819857 1 0.977 4.53062453237387e-73 0 LY6H
SPARCL1 8.62392981186229e-77 0.5130242975367 1 0.984 2.28465148575856e-72 0 SPARCL1
FKBP2 1.00700673761824e-73 0.360639765170326 1 1 2.66776224929823e-69 0 FKBP2
SERPINF1 5.66037272755766e-72 0.442465576678694 0.993 0.948 1.49954594298458e-67 0 SERPINF1
PCOLCE2 7.74120020653395e-72 0.468556916097259 0.993 0.923 2.05079875871498e-67 0 PCOLCE2
TMEM190 9.56653331480075e-72 0.494888977407578 0.987 0.713 2.53436600575701e-67 0 TMEM190
UBC 4.23797524537877e-69 0.302816367232804 1 1 1.12272440200574e-64 0 UBC
LAMP5 3.40061248205781e-68 0.495496989618214 0.984 0.811 9.00890258746756e-64 0 LAMP5
GRP 7.58442167274873e-68 0.433087966260701 0.85 0.528 2.00926498954459e-63 0 GRP
FOLR1 3.74832685246421e-67 0.445973321250092 0.921 0.656 9.93006749754817e-63 0 FOLR1
SPINT2 1.62718058015581e-65 0.28530295663678 1 1 4.31072679294877e-61 0 SPINT2
MT-ND1 4.41365211930495e-65 -0.385046436461625 1 1 1.16926471944627e-60 0 MT-ND1
