p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
PLD3 0 0.843536942631842 1 1 0 0 PLD3
DBI 0 -1.1976093052057 0.991 1 0 0 DBI
CHGB 4.19501713555489e-305 0.70041894411082 1 1 1.1113439395512e-300 0 CHGB
MT-ND5 2.82485546636704e-280 0.681887248678529 1 1 7.48360710149956e-276 0 MT-ND5
SPARCL1 3.87502808112968e-279 0.936270029901618 1 0.975 1.02657243925287e-274 0 SPARCL1
RAMP1 1.96922581316579e-266 0.979459922227179 0.997 0.828 5.21687302423882e-262 0 RAMP1
CGA 1.55619083374181e-265 1.10538075176086 1 0.964 4.1226607567488e-261 0 CGA
LY6H 5.3335398248814e-248 0.775149711375862 0.999 0.965 1.41296137040758e-243 0 LY6H
GPX3 1.51520153892757e-235 0.797668649078629 0.999 0.956 4.01407191692692e-231 0 GPX3
TMEM130 3.83571602600714e-226 0.598457181995371 1 1 1.01615788960981e-221 0 TMEM130
VGF 1.5318404905463e-214 0.905134896597046 0.92 0.562 4.05815182755525e-210 0 VGF
ELAPOR1 1.40146006486427e-208 0.603694181980601 1 0.996 3.71274800383842e-204 0 ELAPOR1
MDK 1.59634176373688e-206 0.724944633145078 1 0.979 4.22902860049173e-202 0 MDK
LGALS3BP 3.14522027510615e-195 0.620426559761013 0.997 0.981 8.33231755281121e-191 0 LGALS3BP
PDE4D 1.6089219347406e-184 0.904110586560984 0.984 0.904 4.2623559895148e-180 0 PDE4D
MIR7-3HG 6.6138697285811e-180 -0.968369915396659 0.997 1 1.7521463684957e-175 0 MIR7-3HG
CTSB 3.9665024784401e-179 0.570912767117548 0.997 0.992 1.05080583658835e-174 0 CTSB
MT-ND4 3.87684137573786e-178 0.340628613418096 1 1 1.02705281726047e-173 0 MT-ND4
ATP1B2 2.08866880539086e-173 0.639957509463629 0.992 0.9 5.53330139924147e-169 0 ATP1B2
SERPINI1 5.70017058655501e-170 0.733077815758247 0.974 0.753 1.51008919179015e-165 0 SERPINI1
LAMP5 7.65894364900495e-170 0.699388534336749 0.98 0.721 2.02900735149439e-165 0 LAMP5
RPS4X 7.09091531736552e-167 -0.425691414171043 1 1 1.87852528587647e-162 0 RPS4X
SEZ6L 5.71218270674564e-166 0.604088949838152 0.997 0.97 1.51327144267106e-161 0 SEZ6L
AMIGO2 1.39424971105881e-165 0.666469471908914 0.971 0.787 3.69364633453701e-161 0 AMIGO2
MKX 1.94756581107545e-165 -0.975276225145209 0.173 0.594 5.15949134670107e-161 0 MKX
GLUL 3.48565522816325e-161 -0.932678245432423 0.968 0.989 9.23419783045008e-157 0 GLUL
