p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
PLD3 1.22718413949077e-234 0.71918686132229 1 1 3.25105622233894e-230 0 PLD3
CHGB 8.4363827417914e-232 0.610007089562096 1 1 2.23496651595538e-227 0 CHGB
MT-ND5 1.77135281409786e-193 0.577084265943573 1 1 4.69266787510806e-189 0 MT-ND5
DBI 6.35206529689676e-186 -1.08557436276753 0.989 0.999 1.68278913845389e-181 0 DBI
TMEM130 2.58993099539033e-179 0.555120092517014 1 1 6.86124519298805e-175 0 TMEM130
SCG5 3.5945298233764e-177 0.447710362451384 1 1 9.52262840808876e-173 0 SCG5
CGA 3.83843008273611e-172 0.879320301926623 1 0.974 1.01687689751845e-167 0 CGA
RAMP1 4.01665713245117e-169 0.765280976561522 0.999 0.873 1.06409280752896e-164 0 RAMP1
MT-ND4 1.47233906188221e-165 0.346178245581864 1 1 3.90052064273836e-161 0 MT-ND4
GPX3 1.4936774508877e-164 0.68838610206099 1 0.968 3.95705030289169e-160 0 GPX3
SPINT2 2.10822666700665e-161 0.433783492665342 1 1 5.58511408623402e-157 0 SPINT2
LY6H 1.49892513262314e-155 0.627888506832879 0.999 0.974 3.97095246134523e-151 0 LY6H
VGF 1.05249965200013e-141 0.762426162318926 0.948 0.648 2.78828207807875e-137 0 VGF
SPARCL1 9.61965001784481e-138 0.635419450552435 1 0.982 2.54843768272745e-133 0 SPARCL1
ELAPOR1 1.03335933478775e-128 0.488066126791336 1 0.997 2.7375755497197e-124 0 ELAPOR1
AMIGO2 2.75587307097636e-127 0.613166239437059 0.99 0.83 7.30085893963058e-123 0 AMIGO2
TUSC3 2.02156996423664e-125 0.530581421639186 0.998 0.974 5.35554314925571e-121 0 TUSC3
PCOLCE2 1.14777408603468e-121 0.568541624434207 0.991 0.915 3.04068310872308e-117 0 PCOLCE2
SERPINF1 9.20394495306395e-121 0.537712075763325 0.993 0.942 2.4383090969657e-116 0 SERPINF1
GRP 1.70827367998546e-119 0.582122952798592 0.851 0.487 4.52555863301747e-115 0 GRP
CHGA 1.47483020787139e-118 0.41101754760112 1 1 3.90712018669289e-114 0 CHGA
MDK 5.30645789884326e-117 0.559742381918894 1 0.985 1.40578682656156e-112 0 MDK
RPS28 2.05900845929113e-116 -0.482548054882512 1 1 5.45472521035406e-112 0 RPS28
LGALS3BP 2.97084507116481e-114 0.484762049613494 0.997 0.986 7.87036276252981e-110 0 LGALS3BP
LAMP5 1.53224206665845e-111 0.598351289941677 0.981 0.791 4.05921568299157e-107 0 LAMP5
FKBP2 1.40232190280945e-110 0.402054977550825 1 1 3.7150311849228e-106 0 FKBP2
CPE 3.78270125293955e-110 0.38752609572463 1 1 1.00211321592874e-105 0 CPE
TMEM190 1.96388542285833e-107 0.564349291741097 0.975 0.684 5.20272526223629e-103 0 TMEM190
CTSB 1.34194012791076e-106 0.448636897636093 0.997 0.993 3.55506778686118e-102 0 CTSB
FOLR1 3.50431846711887e-106 0.524890291372743 0.91 0.628 9.2836404830913e-102 0 FOLR1
SCG2 4.67686511729704e-106 0.424643811375349 1 0.999 1.23899510687433e-101 0 SCG2
RPS4X 1.81661416483372e-103 -0.376829694064221 1 1 4.81257424547748e-99 0 RPS4X
UBC 1.84130455691455e-102 0.339829126114854 1 1 4.87798403217803e-98 0 UBC
PTPRN 9.1030458183011e-102 0.432298942229885 0.998 0.993 2.41157889818433e-97 0 PTPRN
EPCAM 1.04996245468859e-101 0.417614551039001 1 0.997 2.78156053496101e-97 0 EPCAM
PDE4D 1.47813321744185e-97 0.622421440211081 0.985 0.925 3.91587051964696e-93 0 PDE4D
CALY 2.17649540580312e-97 0.460314163126764 0.993 0.965 5.76597162905363e-93 0 CALY
CNTN1 4.29765494746523e-95 0.443369907655919 1 0.991 1.13853474868249e-90 0 CNTN1
RPL36A 6.3858078098846e-94 -0.478177442582529 0.999 1 1.69172820499463e-89 0 RPL36A
ATP1B2 1.35435423876625e-93 0.48030160927542 0.995 0.924 3.58795524933955e-89 0 ATP1B2
SEZ6L 4.83780858893725e-92 0.458527258276729 0.999 0.977 1.28163225138126e-87 0 SEZ6L
GLUL 1.32209711614606e-91 -0.787684465142937 0.98 0.979 3.50249968009414e-87 0 GLUL
ABHD14A 8.59484159362973e-91 0.464254854220171 0.989 0.929 2.27694543498439e-86 0 ABHD14A
BSCL2 1.02228199199267e-90 0.35594510475828 1 1 2.70822945318698e-86 0 BSCL2
MT-RNR2 7.89784345834629e-90 0.326736657990238 1 1 2.0922966889851e-85 0 MT-RNR2
PLEKHA7 7.44713767652054e-88 -0.445284648292287 0.999 1 1.97289571326382e-83 0 PLEKHA7
ITM2B 2.25772071314343e-87 0.291228648629883 1 1 5.98115371325957e-83 0 ITM2B
CDHR1 2.44428123242723e-87 0.474113574693552 0.815 0.517 6.47538984094621e-83 0 CDHR1
FGFR1 1.41522620139237e-86 0.458019636703895 0.997 0.949 3.74921725272867e-82 0 FGFR1
CLU 7.58819304304759e-86 0.323842411544369 1 1 2.01026410096417e-81 0 CLU
SEMA3E 9.38190699682206e-84 0.523999738721869 1 0.886 2.4854548015981e-79 0 SEMA3E
ATRNL1 1.42311859792689e-82 0.482872167616588 0.972 0.837 3.77012578962791e-78 0 ATRNL1
MUC5B 2.50853476077494e-81 0.44948185956198 0.869 0.581 6.64561028824497e-77 0 MUC5B
DIO2 8.25377428235946e-81 -0.777982704119822 0.529 0.754 2.18658988288267e-76 0 DIO2
PRLHR 7.24851858236393e-80 0.432486030250422 0.891 0.631 1.92027754283985e-75 0 PRLHR
SERPINI1 1.04800795224208e-79 0.485012967253372 0.973 0.814 2.77638266707973e-75 0 SERPINI1
GRIA2 2.0885821405383e-79 0.466422232948525 0.945 0.736 5.53307180671408e-75 0 GRIA2
CD164 1.36375832543969e-78 0.404092043571652 0.998 0.972 3.61286855575481e-74 0 CD164
TSPAN1 2.9296634584611e-78 0.459732534233694 0.965 0.878 7.76126443415515e-74 0 TSPAN1
CHID1 3.69441673123186e-78 0.42319286410338 0.992 0.941 9.78724880437944e-74 0 CHID1
CTSV 8.40357295104737e-78 0.429392388392043 0.839 0.519 2.22627454619147e-73 0 CTSV
MKX 8.71059397461081e-78 -0.779747805547785 0.168 0.481 2.30761055575389e-73 0 MKX
MT-ND6 1.2337329153108e-77 0.411927208076085 0.999 0.994 3.26840523924137e-73 0 MT-ND6
EMC10 2.1274818900342e-75 0.381981529764606 0.997 0.982 5.63612502307861e-71 0 EMC10
OOEP 7.74144932312098e-75 -0.380687131862999 1 1 2.05086475468121e-70 0 OOEP
RNASEK 1.30539139251761e-74 0.285958543113753 1 1 3.45824287705765e-70 0 RNASEK
RPS18 2.81151429258798e-74 -0.42861546280151 1 1 7.44826366392408e-70 0 RPS18
EDIL3 5.52605192298352e-74 0.441786364521843 0.973 0.739 1.46396167543679e-69 0 EDIL3
SDC4 7.53745268883076e-74 0.450298256060763 0.972 0.87 1.99682196632504e-69 0 SDC4
IDH1 1.29638400898467e-73 0.321316372340169 1 1 3.43438051660219e-69 0 IDH1
ZNF804A 2.29523674545016e-71 0.453018071713717 0.834 0.564 6.08054118604657e-67 0 ZNF804A
RPS19 1.0481164286903e-70 -0.482863598505897 1 1 2.77667004288635e-66 0 RPS19
RBP1 7.7443529402031e-70 0.34452583768559 1 0.999 2.05163398091861e-65 0 RBP1
AKAP13 4.75367189499822e-68 0.399291619924624 0.941 0.77 1.25934275842293e-63 0 AKAP13
RPL36 4.89236375933259e-68 -0.293819500401158 1 1 1.29608500712239e-63 0 RPL36
SPOCK1 2.02604213064952e-67 0.422950245887026 0.988 0.93 5.36739081251671e-63 0 SPOCK1
KCNA5 2.93158142419217e-67 0.390027643758395 0.985 0.93 7.7663455089699e-63 0 KCNA5
SCG3 3.003599772231e-67 0.337976794125285 1 0.999 7.95713651659436e-63 0 SCG3
HLA-C 3.15334087901169e-66 0.373924124712711 1 0.98 8.35383065667778e-62 0 HLA-C
NPDC1 1.10571529486424e-65 0.346452573358749 0.998 0.995 2.92926095915436e-61 0 NPDC1
GABRB3 4.42030885551361e-65 0.388238019611557 0.983 0.892 1.17102822200267e-60 0 GABRB3
STMN2 7.93994859250295e-65 -0.413396166546591 0.976 0.991 2.10345118112588e-60 0 STMN2
CDH8 1.73603325207555e-64 0.396374737486407 0.952 0.829 4.59909929139856e-60 0 CDH8
RPL39 5.65196006739711e-64 -0.394589162410269 0.996 0.999 1.49731726105484e-59 0 RPL39
LSAMP 9.41551952407377e-63 0.390800514445762 0.996 0.962 2.49435943231762e-58 0 LSAMP
TMEM9 3.50851725924842e-62 0.382949464581918 0.998 0.932 9.29476392320091e-58 0 TMEM9
APLP2 9.80430331355384e-62 0.360935825473341 0.994 0.963 2.59735603382668e-57 0 APLP2
PITX1 1.23610493147245e-61 -0.403243584987571 1 1 3.27468918445682e-57 0 PITX1
ASTN2 1.34922405161738e-61 0.387364631662209 0.983 0.88 3.57436435754477e-57 0 ASTN2
DPP7 1.71066273698783e-60 0.356640111517665 0.992 0.957 4.53188772282816e-56 0 DPP7
ERP29 2.04456277685571e-60 0.3230904978114 1 0.99 5.41645570844615e-56 0 ERP29
MT-ND2 3.35077619517383e-60 -0.316200219291656 1 1 8.8768762962545e-56 0 MT-ND2
ATP2B1 4.87388426668726e-60 0.374442480208044 0.99 0.934 1.29118941993079e-55 0 ATP2B1
MIR7-3HG 6.86837160468222e-60 -0.70472510366234 0.997 0.999 1.81956900551241e-55 0 MIR7-3HG
FAIM2 2.90483368328578e-59 0.366376819688613 0.977 0.851 7.69548539376068e-55 0 FAIM2
COX17 1.39882176277656e-58 -0.442432394339297 0.973 0.988 3.70575861394767e-54 0 COX17
UNC13D 4.31576619957127e-58 0.338606280542716 0.769 0.491 1.14333278159042e-53 0 UNC13D
LHB 5.16237651597894e-58 0.376818550377724 0.812 0.552 1.36761678661314e-53 0 LHB
TMPRSS6 7.11750051793647e-57 0.29388434723664 0.65 0.352 1.88556823721173e-52 0 TMPRSS6
BRINP3 1.16386061944618e-56 -0.596177427170858 0.106 0.361 3.08329955303683e-52 0 BRINP3
