p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CGA 0 0.742257863869733 0.773 0.535 0 0 CGA
MT-ND5 0 0.556778927198301 0.973 0.89 0 0 MT-ND5
PLD3 0 0.489592846370127 0.801 0.647 0 0 PLD3
SPARCL1 0 0.479835591482843 0.75 0.561 0 0 SPARCL1
TMSB4X 0 0.478497728346586 0.941 0.806 0 0 TMSB4X
TMSB4XP4 0 0.478400404034143 0.815 0.644 0 0 TMSB4XP4
CHGB 0 0.404557444788511 0.947 0.859 0 0 CHGB
MT-ND4 0 0.338714784787546 1 1 0 0 MT-ND4
MT-RNR2 0 0.327432944079176 1 1 0 0 MT-RNR2
MALAT1 0 -0.981632828827485 0.697 0.815 0 0 MALAT1
FSHB 0 -1.22864377628011 0.633 0.73 0 0 FSHB
RBP4 0 -1.39255895354299 0.074 0.232 0 0 RBP4
MT-ND3 2.10721296110548e-291 0.281240133905595 0.996 0.988 5.58242857656063e-287 0 MT-ND3
RAMP1 1.95980033240716e-257 0.617778109359228 0.445 0.283 5.19190304061304e-253 0 RAMP1
DBI 3.75282245268732e-254 -0.73688901268113 0.372 0.523 9.94197724165924e-250 0 DBI
MDK 7.24222607868287e-193 0.470932895410842 0.598 0.457 1.91861053276466e-188 0 MDK
MT-ND4L 1.77116478418493e-169 0.34808314995447 0.8 0.696 4.69216974626271e-165 0 MT-ND4L
NRG1 1.94906526089022e-162 -0.800150168528522 0.167 0.283 5.16346368915037e-158 0 NRG1
GLUL 5.53278554493537e-148 -0.656126772773248 0.223 0.335 1.46574554656428e-143 0 GLUL
MIR7-3HG 4.96722738096704e-146 -0.571846673426136 0.484 0.581 1.31591787776579e-141 0 MIR7-3HG
GPX3 3.72025170383321e-145 0.456645072544397 0.442 0.317 9.85569081379494e-141 0 GPX3
FTX 4.88443666176624e-138 -0.694757547217587 0.132 0.234 1.29398496043511e-133 0 FTX
DIO2 2.82697531693329e-132 -0.697571283212995 0.055 0.136 7.48922300961966e-128 0 DIO2
TMEM130 9.65457341816844e-130 0.359463521392024 0.647 0.536 2.55768958994118e-125 0 TMEM130
UBB 2.6617593387599e-122 -0.488812473067897 0.525 0.611 7.05153284024272e-118 0 UBB
RIMS2 6.94453526109739e-121 -0.685529253608523 0.105 0.194 1.83974628136992e-116 0 RIMS2
VGF 1.88367218544837e-118 0.473406769637608 0.202 0.119 4.99022435368983e-114 0 VGF
FKBP2 1.59298639954924e-117 0.32850196091289 0.707 0.611 4.22013956968585e-113 0 FKBP2
SCG5 3.95739048898577e-114 0.257463901582399 0.865 0.799 1.04839188834211e-109 0 SCG5
NECAB1 6.86185616461025e-112 -0.654514018096257 0.149 0.241 1.81784293512855e-107 0 NECAB1
RBP1 1.10073413456606e-109 0.364527744933353 0.596 0.492 2.91606486929241e-105 0 RBP1
SEMA3E 1.27178787943677e-109 0.383666116913925 0.408 0.3 3.36922045020388e-105 0 SEMA3E
SPINT2 5.16832570400406e-108 0.256351740708861 0.845 0.78 1.36919284550476e-103 0 SPINT2
ELAPOR1 1.92414275784594e-103 0.350781789830521 0.547 0.439 5.09743899408546e-99 0 ELAPOR1
SERPINF1 4.96428476798553e-103 0.424893719301733 0.327 0.23 1.31513832073473e-98 0 SERPINF1
LY6H 1.5012915499847e-102 0.399698775596917 0.401 0.297 3.97722157421947e-98 0 LY6H
ZFPM2 6.32867480496439e-102 -0.676684367595981 0.101 0.181 1.67659252933117e-97 0 ZFPM2
GRP 9.43905343709558e-98 0.428637366739269 0.128 0.068 2.50059403655536e-93 0 GRP
COX7A1 1.81391791052159e-97 0.299935531576704 0.669 0.572 4.80543132855381e-93 0 COX7A1
CDH12 3.55863001450342e-95 -0.6060941930446 0.135 0.217 9.42752263442245e-91 0 CDH12
TMEM190 6.22857695039021e-95 0.407899649760776 0.224 0.145 1.65007460569737e-90 0 TMEM190
CCND2 4.45966135896061e-93 -0.583080289172031 0.053 0.116 1.18145348721585e-88 0 CCND2
TSPAN7 2.23534132951138e-90 -0.611582565978993 0.143 0.22 5.92186625014155e-86 0 TSPAN7
CITED1 2.97850528335066e-89 -0.613395046811281 0.266 0.347 7.89065619665257e-85 0 CITED1
LGALS3BP 8.09183996714773e-86 0.333940652276721 0.428 0.329 2.14369024409678e-81 0 LGALS3BP
AGBL4 4.26282597541807e-85 -0.579014532606565 0.067 0.131 1.12930785740776e-80 0 AGBL4
PAK3 6.36325049568498e-84 -0.522746995419935 0.183 0.264 1.68575232131687e-79 0 PAK3
LAMP5 7.82880402701283e-84 0.388310601070453 0.258 0.178 2.07400676283624e-79 0 LAMP5
DLGAP1 1.45715505366489e-83 -0.581207087452037 0.073 0.138 3.86029516816904e-79 0 DLGAP1
MT-ND6 4.5682681723037e-83 0.318325047401425 0.503 0.404 1.2102256042067e-78 0 MT-ND6
ATP1B2 3.29175848682955e-82 0.359739221286597 0.364 0.273 8.72052658330885e-78 0 ATP1B2
PCOLCE2 7.80113835923955e-82 0.38184086137944 0.294 0.21 2.06667757412974e-77 0 PCOLCE2
FAM155A 4.5741153355966e-80 -0.581987779423631 0.109 0.18 1.21177463470625e-75 0 FAM155A
PART1 2.3264905942098e-79 0.41713386009246 0.189 0.122 6.1633388821806e-75 0 PART1
AMIGO2 2.22946024081236e-78 0.382149999595429 0.248 0.172 5.90628606996011e-74 0 AMIGO2
EPCAM 1.11776258136508e-77 0.30456634657031 0.529 0.436 2.96117663055238e-73 0 EPCAM
FXYD6 4.4069808967582e-77 -0.536327635857987 0.103 0.17 1.16749737916918e-72 0 FXYD6
SERPINI1 1.10763976862392e-76 0.384257978997882 0.269 0.19 2.93435927503849e-72 0 SERPINI1
MACROD2 1.78637570355211e-76 -0.568933421248635 0.089 0.154 4.73246651385025e-72 0 MACROD2
PEG10 3.32954505811219e-75 -0.498199616751464 0.843 0.829 8.82063076795083e-71 0 PEG10
ABHD14A 9.02593002307356e-75 0.354420580680914 0.289 0.209 2.39114938171265e-70 0 ABHD14A
SEZ6L 1.92946653806215e-72 0.299578575495019 0.496 0.404 5.11154275263424e-68 0 SEZ6L
ADRA2A 2.88193643118013e-72 -0.496563175312581 0.083 0.145 7.63482599348241e-68 0 ADRA2A
FAM107A 1.34873339864552e-70 -0.449847255893788 0.231 0.307 3.57306451969172e-66 0 FAM107A
ITM2C 2.18447999905217e-69 -0.481605349063814 0.173 0.243 5.787124413489e-65 0 ITM2C
TSPAN33 5.14413702731739e-68 -0.477176119836075 0.148 0.217 1.36278478127692e-63 0 TSPAN33
STXBP5L 3.51650450963326e-65 -0.486525449294168 0.058 0.11 9.31592374692042e-61 0 STXBP5L
PITX1 1.36262625481341e-64 -0.306378342873196 0.523 0.588 3.60986947425168e-60 0 PITX1
FOLR1 2.15449591558532e-64 0.356391155524199 0.141 0.088 5.70769057956863e-60 0 FOLR1
TUSC3 2.91075886187487e-63 0.306036733830118 0.377 0.294 7.71118237687892e-59 0 TUSC3
IGSF1 2.43276553798659e-62 -0.382685343193403 0.398 0.463 6.44488246323407e-58 0 IGSF1
CTSB 5.75488967036016e-62 0.282569394964574 0.447 0.362 1.52458537147181e-57 0 CTSB
GDI1 2.91901151314165e-61 -0.438397299412175 0.298 0.364 7.73304530061486e-57 0 GDI1
TMEM9 7.03606497766333e-60 0.330665421996931 0.307 0.234 1.86399433388257e-55 0 TMEM9
ROBO1 3.47745682505408e-59 -0.515675711700796 0.178 0.244 9.21247862093326e-55 0 ROBO1
PDE4D 5.76984695734601e-59 -0.590637591222021 0.221 0.286 1.5285478559401e-54 0 PDE4D
SEC11C 1.25932319516758e-57 0.273005038041462 0.474 0.391 3.33619900863794e-53 0 SEC11C
CTSV 2.63947794640324e-55 0.319834251239916 0.111 0.067 6.99250497561146e-51 0 CTSV
CD164 4.8169079540477e-53 0.308046457808612 0.346 0.273 1.27609525518632e-48 0 CD164
IFI44 8.02048938170678e-52 -0.454435589663943 0.099 0.152 2.12478804700176e-47 0 IFI44
NDUFA1 1.13539032748815e-51 -0.287808324052243 0.522 0.575 3.0078760555816e-47 0 NDUFA1
H1-2 1.93319228331972e-51 -0.479680088151117 0.123 0.177 5.12141299697061e-47 0 H1-2
PNMT 5.1931898962418e-51 0.325709157749869 0.179 0.126 1.37577986731238e-46 0 PNMT
VMO1 1.7188408629471e-50 0.325992200600379 0.257 0.194 4.55355321411945e-46 0 VMO1
SYTL4 1.08178044948927e-49 -0.395211373776668 0.095 0.146 2.86585276678697e-45 0 SYTL4
CASK 1.5408521909067e-49 -0.403866387775091 0.112 0.165 4.08202562415003e-45 0 CASK
CHID1 6.34993770172991e-48 0.280459197783679 0.278 0.213 1.68222549594229e-43 0 CHID1
FGFR1 8.8047824879813e-48 0.287095200121014 0.298 0.232 2.33256297671601e-43 0 FGFR1
MUC5B 1.28122361827858e-47 0.311671133372218 0.12 0.078 3.39421760954361e-43 0 MUC5B
PCSK1N 1.63129757946808e-47 -0.393628130895226 0.825 0.811 4.32163354752684e-43 0 PCSK1N
TSPAN1 1.88622920970447e-47 0.291171933910555 0.225 0.167 4.99699842234907e-43 0 TSPAN1
CDHR1 1.99852660648679e-47 0.303959818272046 0.105 0.065 5.2944966859048e-43 0 CDHR1
RORA 3.01527653806329e-46 -0.426422953932363 0.081 0.128 7.98807060463728e-42 0 RORA
TCEAL3 1.34172577644759e-45 -0.392296693509072 0.203 0.261 3.55449992696495e-41 0 TCEAL3
FAIM2 1.10355696145704e-44 0.29004631946031 0.209 0.154 2.923543102292e-40 0 FAIM2
GRID2 1.26881322945172e-44 -0.415711681410899 0.07 0.114 3.3613400074635e-40 0 GRID2
PRLHR 2.12087474225579e-44 0.307965563792735 0.129 0.086 5.61862136718403e-40 0 PRLHR
SDC4 4.21420088449138e-43 0.27899973824731 0.211 0.156 1.11642609831946e-38 0 SDC4
DPP7 4.92133942076533e-43 0.268884401607433 0.292 0.23 1.30376123934915e-38 0 DPP7
HSP90AA1 5.951895401374e-43 -0.271465108941683 0.547 0.594 1.576776129732e-38 0 HSP90AA1
EIF4G3 3.63028663334022e-42 -0.387682586027442 0.093 0.138 9.6173553490449e-38 0 EIF4G3
DLG2 1.5933127918597e-40 -0.397791762401872 0.083 0.126 4.22100424819472e-36 0 DLG2
LGALS2 5.04297827826915e-40 0.310577295469606 0.177 0.13 1.33598580547906e-35 0 LGALS2
VKORC1 6.60079742283113e-40 0.257927507915363 0.289 0.229 1.74868325325642e-35 0 VKORC1
EDIL3 1.00698761940889e-39 0.274971939500893 0.209 0.158 2.66771160133803e-35 0 EDIL3
ENO2 2.07024986017567e-39 -0.29021057225819 0.312 0.368 5.48450592957739e-35 0 ENO2
ECRG4 3.15706718017272e-39 0.274547089097731 0.389 0.328 8.36370237371358e-35 0 ECRG4
HMGN3 3.46506863653436e-39 0.276984465203637 0.328 0.267 9.17965983190681e-35 0 HMGN3
KCNA5 3.47431324859745e-39 0.266062617797715 0.261 0.204 9.20415065818436e-35 0 KCNA5
LAMP1 1.09407171706388e-38 0.25335355216018 0.268 0.21 2.89841479284564e-34 0 LAMP1
PTN 2.8335980080491e-38 -0.377855781848761 0.103 0.147 7.50676784292369e-34 0 PTN
HTRA1 4.40977176428095e-38 -0.360893305184317 0.077 0.118 1.16823673579331e-33 0 HTRA1
ZBTB20 1.92966626935567e-36 -0.326919590936493 0.239 0.291 5.11207188077705e-32 0 ZBTB20
PITX2 6.35013400702199e-36 0.273386555609094 0.16 0.117 1.68227750114027e-31 0 PITX2
SCD 8.24925619038593e-34 0.25992143052932 0.198 0.152 2.18539294995704e-29 0 SCD
NLGN1 7.24041736085859e-33 -0.384912592341101 0.086 0.125 1.91813136723866e-28 0 NLGN1
PRDX1 3.54055965148411e-32 -0.300295282344303 0.144 0.189 9.37965062871169e-28 0 PRDX1
