p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CGA 0 0.606446315662105 0.775 0.558 0 0 CGA
TMSB4X 0 0.582428768644874 0.962 0.815 0 0 TMSB4X
TMSB4XP4 0 0.576563563906439 0.851 0.654 0 0 TMSB4XP4
CHGB 1.78875668683368e-236 0.362151114090438 0.954 0.866 4.73877421475979e-232 0 CHGB
SPARCL1 1.04347438101206e-230 0.460897216080968 0.772 0.576 2.76437233017715e-226 0 SPARCL1
MT-ND1 1.96707394247784e-197 -0.375754795064379 0.964 0.973 5.21117228841228e-193 0 MT-ND1
PLD3 1.86557365243312e-191 0.412705126672361 0.813 0.66 4.94227772002583e-187 0 PLD3
RBP4 2.07162184807157e-191 -1.28522599634752 0.081 0.215 5.4881405999112e-187 0 RBP4
MT-CYB 4.50603427827018e-186 -0.346828875215027 1 0.999 1.19373860099934e-181 0 MT-CYB
RAMP1 9.42054029466973e-174 0.537675189191817 0.462 0.296 2.4956895348639e-169 0 RAMP1
MT-ND2 2.23998382071173e-165 -0.332522457452502 0.941 0.959 5.93416513782951e-161 0 MT-ND2
DBI 9.19684192075406e-163 -0.725296757738435 0.379 0.507 2.43642736164617e-158 0 DBI
MT-ND5 1.57722967817289e-160 0.252324599137681 0.969 0.898 4.17839686341563e-156 0 MT-ND5
FSHB 3.97060395830973e-156 -1.05482202385181 0.674 0.713 1.05189240063541e-151 0 FSHB
COX7A1 1.29765423540288e-152 0.419994879840053 0.72 0.572 3.4377456004293e-148 0 COX7A1
CALM2 7.0188298221874e-150 0.299905058380981 0.948 0.885 1.85942839649388e-145 0 CALM2
EEF1A1 1.54838193810107e-146 0.267576260231581 0.953 0.888 4.10197343041735e-142 0 EEF1A1
MDK 1.55557425317139e-124 0.389253029088579 0.617 0.467 4.12102731150164e-120 0 MDK
RBP1 1.99703766076765e-123 0.418297505133262 0.634 0.494 5.29055217090565e-119 0 RBP1
GPX3 1.67752860987021e-116 0.433976358410128 0.465 0.325 4.44410879326816e-112 0 GPX3
MALAT1 4.09413887871839e-90 -0.534386807960917 0.767 0.79 1.08461927175008e-85 0 MALAT1
FN1 4.81429195011404e-90 -0.71807364719828 0.106 0.197 1.27540222342421e-85 0 FN1
MGP 2.15185593012384e-89 -0.78660239183032 0.182 0.279 5.70069673008408e-85 0 MGP
SCG5 7.35530860561243e-89 0.253097090845426 0.877 0.803 1.94856835579885e-84 0 SCG5
IDH1 1.38980907156478e-88 0.311274328308573 0.686 0.564 3.68188219238942e-84 0 IDH1
DIO2 2.14438329804718e-87 -0.684111607189062 0.053 0.128 5.68090023318658e-83 0 DIO2
TMEM130 8.77669965745178e-87 0.307759420757753 0.667 0.543 2.32512327325213e-82 0 TMEM130
GLUL 7.71220507300194e-86 -0.614267275576736 0.229 0.324 2.04311736793968e-81 0 GLUL
CIRBP 2.75883215071906e-84 0.259283897656061 0.833 0.729 7.30869813368494e-80 0 CIRBP
TMEM190 1.49130301877843e-83 0.414455972134113 0.24 0.149 3.95075995734781e-79 0 TMEM190
FKBP2 2.65665205884503e-82 0.295175737018619 0.726 0.616 7.03800263429225e-78 0 FKBP2
COL1A1 5.41349900164731e-81 -0.801451780657292 0.089 0.17 1.4341441555164e-76 0 COL1A1
PCSK1N 6.55377710823895e-79 -0.495688551677714 0.821 0.813 1.73622663151466e-74 0 PCSK1N
PART1 1.88831729259108e-76 0.409840718863224 0.205 0.125 5.00253017153228e-72 0 PART1
COL1A2 9.82525361005476e-76 -0.780744381064338 0.153 0.237 2.60290618637571e-71 0 COL1A2
PCOLCE2 2.27426424643913e-74 0.388477931882417 0.312 0.215 6.02498084166655e-70 0 PCOLCE2
HMGN3 2.01986535115841e-70 0.377670456299714 0.367 0.266 5.35102728828885e-66 0 HMGN3
MIR7-3HG 2.0417469708166e-69 -0.498733245304057 0.51 0.567 5.40899607508733e-65 0 MIR7-3HG
SEMA3E 7.1285449110859e-69 0.317256145403718 0.419 0.309 1.88849411784488e-64 0 SEMA3E
SEZ6L 1.4943002447828e-68 0.310887485984549 0.523 0.408 3.95870020847859e-64 0 SEZ6L
SPARC 4.61543056411563e-68 -0.702534496545253 0.254 0.333 1.22271986504551e-63 0 SPARC
LAMP5 5.92406019558438e-68 0.360997263183019 0.271 0.183 1.56940202701421e-63 0 LAMP5
SERPINI1 1.50002906736202e-66 0.379613111470579 0.284 0.195 3.97387700525547e-62 0 SERPINI1
POLR2L 2.71774275970233e-66 0.340686582930541 0.46 0.351 7.19984411900342e-62 0 POLR2L
COL3A1 2.97586755161554e-66 -0.688552846149666 0.075 0.143 7.88366831773989e-62 0 COL3A1
GRP 6.24221549056176e-64 0.362553448261588 0.13 0.073 1.65368772775962e-59 0 GRP
SERPINF1 1.71314498823958e-63 0.356213357923992 0.332 0.239 4.53846370284428e-59 0 SERPINF1
CCN2 1.39287290837591e-62 -0.609847074450598 0.055 0.116 3.68999890886946e-58 0 CCN2
AMIGO2 3.43502913842254e-62 0.352821517351029 0.26 0.177 9.10007919350898e-58 0 AMIGO2
UQCR11 6.17635624976643e-62 0.284378774978848 0.653 0.547 1.63624029768812e-57 0 UQCR11
VIM 1.40346784731875e-61 -0.663729376946077 0.108 0.178 3.71806702111682e-57 0 VIM
VGF 2.31021296189986e-61 0.380370057540946 0.199 0.128 6.1202161786651e-57 0 VGF
IGFBP7 4.01443861388032e-61 -0.568319296076668 0.372 0.442 1.06350507758917e-56 0 IGFBP7
FOLR1 2.91080953585918e-58 0.355924777375792 0.151 0.091 7.71131662239813e-54 0 FOLR1
GABARAPL2 8.86691458825286e-57 0.292289243165599 0.554 0.45 2.34902301271995e-52 0 GABARAPL2
LGALS3BP 1.26865400684426e-54 0.29252941225033 0.437 0.337 3.36091819493182e-50 0 LGALS3BP
ELAPOR1 1.08434539431806e-53 0.27019438763124 0.551 0.448 2.8726478186274e-49 0 ELAPOR1
BGN 1.90870817446348e-52 -0.578740381335962 0.1 0.162 5.05654969578866e-48 0 BGN
ABHD14A 2.35639234012815e-52 0.297746708333288 0.299 0.215 6.24255458746749e-48 0 ABHD14A
LY6H 3.46520831076442e-52 0.282021562614879 0.403 0.307 9.18002985687711e-48 0 LY6H
PNMT 1.18196015160381e-51 0.330182942078572 0.194 0.128 3.13124883362882e-47 0 PNMT
STMN1 2.39613194929035e-50 0.323673058754757 0.359 0.271 6.34783276005999e-46 0 STMN1
TUSC3 5.75085477650709e-50 0.297861595281516 0.39 0.299 1.52351644739226e-45 0 TUSC3
EPCAM 8.97798418480727e-50 0.257628680118548 0.543 0.442 2.37844757023914e-45 0 EPCAM
FTX 1.21693337089838e-49 -0.509801682615886 0.153 0.22 3.22389988618398e-45 0 FTX
ITM2C 4.94781885197955e-49 -0.502752872737591 0.171 0.236 1.31077617026642e-44 0 ITM2C
FXYD6 6.29399924960315e-48 -0.527517578745471 0.104 0.163 1.66740628120487e-43 0 FXYD6
NME1-NME2 1.7998235114368e-47 0.255355548762642 0.511 0.414 4.76809244649837e-43 0 NME1-NME2
CCND2 2.35318301465139e-47 -0.518034941003326 0.058 0.109 6.23405244241446e-43 0 CCND2
PITX2 6.08118192516702e-47 0.334638769313817 0.178 0.118 1.61102671561525e-42 0 PITX2
COL4A1 1.27064531991613e-46 -0.582101106470891 0.054 0.104 3.3661935815218e-42 0 COL4A1
UBB 2.24324736435674e-46 -0.388619593280355 0.561 0.596 5.94281091765389e-42 0 UBB
MT3 5.60585127242301e-46 0.313438752331707 0.23 0.162 1.4851021190903e-41 0 MT3
TMEM9 1.26509328300075e-45 0.292866751970252 0.319 0.239 3.35148512532559e-41 0 TMEM9
ATP5MJ 1.53717984362087e-44 0.266974315213977 0.497 0.406 4.0722968417204e-40 0 ATP5MJ
NECAB1 5.98988472360701e-43 -0.513729297806868 0.168 0.228 1.58684026097797e-38 0 NECAB1
CTSV 1.53131271160331e-42 0.317492650262262 0.115 0.07 4.05675363557949e-38 0 CTSV
TSPAN7 2.91122356854853e-42 -0.533750879973919 0.153 0.211 7.71241347779878e-38 0 TSPAN7
ATP1B2 2.96287321247063e-42 0.250913078190692 0.366 0.281 7.84924371447718e-38 0 ATP1B2
CD164 3.23281459339549e-42 0.280455014082419 0.36 0.278 8.56437242082334e-38 0 CD164
IFI27L2 6.1439597309543e-42 0.301560895284359 0.348 0.271 1.62765781192441e-37 0 IFI27L2
EDIL3 8.24041178719319e-42 0.299605646096654 0.224 0.16 2.18304989066322e-37 0 EDIL3
DLGAP1 9.1811622390938e-42 -0.499245270592131 0.078 0.13 2.43227350038073e-37 0 DLGAP1
SNHG31 5.42837640510315e-41 0.291526014348785 0.264 0.195 1.43808547723993e-36 0 SNHG31
NRG1 6.83484856576003e-41 -0.531410447223977 0.204 0.265 1.81068808204115e-36 0 NRG1
PLAC9 2.39966851945129e-40 0.279863487295051 0.138 0.088 6.35720184173036e-36 0 PLAC9
LGALS2 2.85847802011405e-40 0.308223709782679 0.19 0.132 7.57267997088615e-36 0 LGALS2
MUC5B 9.38244106077453e-40 0.294870671477637 0.127 0.08 2.48559628582039e-35 0 MUC5B
CPLX2 1.72972845986489e-39 0.290318020792324 0.278 0.207 4.58239663587405e-35 0 CPLX2
CTXN1 2.31236174398664e-39 0.273684681938492 0.165 0.11 6.12590873216942e-35 0 CTXN1
RPS4Y1 4.36008315006663e-39 0.268774624107476 0.295 0.223 1.15507322811565e-34 0 RPS4Y1
ADRA2A 6.20351968893311e-39 -0.443154475176491 0.087 0.138 1.64343643599216e-34 0 ADRA2A
PRLHR 7.34293698804702e-39 0.278309163883697 0.137 0.088 1.94529086687342e-34 0 PRLHR
ZSCAN16-AS1 2.4055441846649e-37 0.270070010099754 0.311 0.239 6.37276765401425e-33 0 ZSCAN16-AS1
RGS5 1.36126249176509e-36 -0.610393301546021 0.166 0.219 3.60625659318408e-32 0 RGS5
TSPAN1 1.38410776974702e-36 0.267912147318704 0.233 0.171 3.66677830361379e-32 0 TSPAN1
KCNA5 1.83542968449823e-36 0.2565313784602 0.275 0.207 4.8624203201727e-32 0 KCNA5
UBE2E3 3.00257748153456e-36 0.272729405193231 0.176 0.122 7.95442826408135e-32 0 UBE2E3
CDH12 4.77310060182242e-36 -0.477750609957358 0.151 0.206 1.2644898114348e-31 0 CDH12
MAP3K4 1.71300924771748e-35 0.27566718707786 0.159 0.109 4.53810409905316e-31 0 MAP3K4
SDC4 2.81217484059778e-35 0.261567134928005 0.219 0.16 7.45001358771163e-31 0 SDC4
FAIM2 5.07714123411729e-35 0.264679390444536 0.217 0.158 1.34503625574235e-30 0 FAIM2
TAGLN 1.08554612036182e-34 -0.494186238090103 0.103 0.152 2.87582878206254e-30 0 TAGLN
SMIM22 2.21608775252643e-34 0.279023231048823 0.155 0.107 5.87085967399301e-30 0 SMIM22
VMO1 2.48880452437148e-34 0.252242154214977 0.263 0.199 6.59334094596493e-30 0 VMO1
TSPAN33 2.80232308812267e-34 -0.411240894405647 0.155 0.209 7.42391432505457e-30 0 TSPAN33
CDHR1 8.00763519019894e-34 0.258246822906927 0.108 0.068 2.1213827145875e-29 0 CDHR1
RFK 5.31303220966367e-33 0.250203440382235 0.214 0.156 1.4075284929841e-28 0 RFK
SOX4 2.98674072013244e-31 0.255703271369892 0.141 0.096 7.91247351577485e-27 0 SOX4
IGSF1 5.37010430744228e-31 -0.334812725128514 0.412 0.454 1.42264803312761e-26 0 IGSF1
PITX1 3.78839633127089e-29 -0.27668672365371 0.55 0.577 1.00362195608028e-24 0 PITX1
CSRP2 8.0565889748944e-29 0.264263446511063 0.139 0.097 2.13435155122902e-24 0 CSRP2
HTRA1 2.02655501793901e-26 -0.373682118470631 0.076 0.114 5.36874955352403e-22 0 HTRA1
GDI1 1.03831940485817e-25 -0.3675087869183 0.316 0.354 2.75071576735025e-21 0 GDI1
CITED1 1.15277335705851e-25 -0.476496902062232 0.297 0.333 3.05392717751941e-21 0 CITED1
MACROD2 1.3089760364884e-25 -0.432710024990406 0.104 0.145 3.46773931586508e-21 0 MACROD2
ZFPM2 2.63921243201948e-23 -0.443218017596078 0.127 0.168 6.991801574906e-19 0 ZFPM2
CASK 1.45812991273201e-22 -0.350151229956212 0.12 0.158 3.86287776480964e-18 0 CASK
SYTL4 1.87320277082859e-21 -0.333528413012202 0.103 0.14 4.96248878047911e-17 0 SYTL4
TMSB10 2.02271910651931e-21 -0.374343092173758 0.218 0.258 5.35858745699095e-17 0 TMSB10
FAM107A 3.59444613432757e-21 -0.319824421504635 0.255 0.295 9.5224066990606e-17 0 FAM107A
