p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CGA 0 0.724587561273116 0.776 0.524 0 0 CGA
TMSB4X 0 0.60863436557872 0.956 0.795 0 0 TMSB4X
TMSB4XP4 0 0.606397766976798 0.841 0.627 0 0 TMSB4XP4
MT-ND5 0 0.459590975675373 0.973 0.886 0 0 MT-ND5
SPARCL1 0 0.444500659006953 0.753 0.553 0 0 SPARCL1
CHGB 0 0.368066916752989 0.95 0.853 0 0 CHGB
MT-ND4 0 0.250098534782578 1 1 0 0 MT-ND4
MALAT1 0 -0.935692818845322 0.712 0.814 0 0 MALAT1
FSHB 0 -1.29746883775591 0.638 0.732 0 0 FSHB
RBP4 0 -1.46149504748159 0.074 0.239 0 0 RBP4
PLD3 1.91531521241206e-271 0.417995293464121 0.799 0.642 5.07405306072202e-267 0 PLD3
RAMP1 7.50636264429108e-269 0.582565529738501 0.445 0.277 1.98858559172559e-264 0 RAMP1
MDK 5.85340450009524e-211 0.449893320123715 0.606 0.448 1.55068392016523e-206 0 MDK
RPL21 1.3231549172274e-199 0.272687215285896 0.821 0.655 3.50530200671884e-195 0 RPL21
COX7A1 1.31916650609965e-187 0.398864342090745 0.698 0.557 3.4947359079592e-183 0 COX7A1
MT-ND4L 2.75541606784059e-171 0.330785695341937 0.807 0.689 7.29964824692328e-167 0 MT-ND4L
NRG1 2.12204651713688e-161 -0.803008287423839 0.178 0.284 5.62172563319902e-157 0 NRG1
RBP1 1.64050985926677e-159 0.399125811249725 0.616 0.48 4.34603871916952e-155 0 RBP1
RPS29 1.73663572806651e-159 0.267402566274297 0.861 0.736 4.6006953707938e-155 0 RPS29
PCSK1N 3.26866214728467e-159 -0.545907958399105 0.814 0.814 8.65933976058654e-155 0 PCSK1N
FTX 1.47951303292337e-157 -0.722994081343223 0.135 0.237 3.91952592682059e-153 0 FTX
DIO2 6.01183634198312e-157 -0.741311913461263 0.055 0.139 1.59265568371817e-152 0 DIO2
DBI 2.87235670266116e-151 -0.575698308263474 0.419 0.512 7.60944737668994e-147 0 DBI
GLUL 2.64123755936132e-150 -0.656087373798523 0.234 0.336 6.99716654226e-146 0 GLUL
GPX3 2.48206310181831e-140 0.401337452785006 0.44 0.312 6.57548156933708e-136 0 GPX3
PEG10 2.00961368748376e-138 -0.576429589704712 0.841 0.829 5.32386858088198e-134 0 PEG10
