p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
CGA 0 0.777525642335999 0.777 0.525 0 0 CGA
MT-ND5 0 0.541242958029371 0.973 0.886 0 0 MT-ND5
PLD3 0 0.511226320979638 0.806 0.64 0 0 PLD3
TMSB4X 0 0.508423150891883 0.944 0.8 0 0 TMSB4X
TMSB4XP4 0 0.502894940684488 0.819 0.637 0 0 TMSB4XP4
SPARCL1 0 0.502167982733333 0.754 0.553 0 0 SPARCL1
CHGB 0 0.428029299234609 0.949 0.854 0 0 CHGB
MT-ND4 0 0.319401915777236 1 1 0 0 MT-ND4
MT-RNR2 0 0.278427818509514 1 1 0 0 MT-RNR2
MALAT1 0 -0.780189492103787 0.733 0.806 0 0 MALAT1
FSHB 0 -1.2402115392568 0.641 0.731 0 0 FSHB
RBP4 0 -1.41799390193067 0.076 0.237 0 0 RBP4
RAMP1 4.58659368388764e-305 0.645193657421398 0.449 0.276 1.21508039873551e-300 0 RAMP1
DBI 6.54681290880295e-274 -0.742491980007974 0.379 0.526 1.73438167580008e-269 0 DBI
MDK 8.13438616560439e-224 0.474060728080893 0.604 0.45 2.15496158299191e-219 0 MDK
GPX3 9.14938842645017e-179 0.477979169778707 0.447 0.31 2.42385598193518e-174 0 GPX3
MT-ND4L 3.42384842996383e-178 0.339454311999447 0.802 0.691 9.07045926066019e-174 0 MT-ND4L
MIR7-3HG 2.29056775512115e-166 -0.591191545127626 0.488 0.583 6.06817209686694e-162 0 MIR7-3HG
GLUL 7.77999327985408e-166 -0.677220201881079 0.226 0.339 2.06107581969894e-161 0 GLUL
DIO2 6.47527919929857e-158 -0.734894461950847 0.054 0.139 1.71543096547818e-153 0 DIO2
TMEM130 2.49624919818468e-156 0.375480853953854 0.654 0.53 6.61306337583084e-152 0 TMEM130
SEMA3E 7.1881543704541e-147 0.428719107109512 0.416 0.294 1.9042858558207e-142 0 SEMA3E
SCG5 2.27739925141973e-146 0.281029914599495 0.869 0.795 6.03328609686115e-142 0 SCG5
FKBP2 1.96873278740953e-144 0.351841169768747 0.714 0.605 5.21556690040533e-140 0 FKBP2
UBB 5.22583027449655e-136 -0.499331177822503 0.532 0.612 1.38442695631963e-131 0 UBB
RBP1 1.06996612864047e-134 0.384183876002262 0.601 0.486 2.83455426799434e-130 0 RBP1
SPINT2 1.50479603927387e-132 0.269024260274706 0.85 0.775 3.98650566724434e-128 0 SPINT2
VGF 5.04444121240325e-132 0.48510860270384 0.202 0.116 1.33637336598987e-127 0 VGF
COX7A1 1.47479840946267e-131 0.333856535031828 0.679 0.565 3.90703594634851e-127 0 COX7A1
SERPINF1 5.52335888958615e-127 0.437132443798788 0.331 0.225 1.46324823702916e-122 0 SERPINF1
ELAPOR1 7.24550868842464e-125 0.368639316032749 0.551 0.433 1.91948016173745e-120 0 ELAPOR1
TMEM190 7.18066250974912e-122 0.441397249439403 0.228 0.14 1.90230111208274e-117 0 TMEM190
NRG1 2.20710511240336e-121 -0.691071682231431 0.187 0.28 5.84706286377898e-117 0 NRG1
NECAB1 5.2230885616186e-117 -0.650730376818126 0.153 0.242 1.383700621744e-112 0 NECAB1
FTX 1.89853250128485e-113 -0.594245043662877 0.145 0.233 5.02959230240383e-109 0 FTX
